stage1_out|NepCTF{bcf46cbec44627ea384de6a190f84bff}
uuid_arm|NepCTF{ed93c5f9d215fe5be21f386702e21c20}
uuid_x86|NepCTF{099dfb82fc5eef2db97354cee1c5774d}
out1_tail|NepCTF{82e31ffdaed5c11050891f0dc57d4310}
fb3c[16:32]|NepCTF{3686d8f8d3ea755c22a1a697d8d13cb0}
fb3c[32:48]|NepCTF{68d2ac8602b27cc7ac79ab6c74fe3b07}
fb3c[48:63]|NepCTF{d10da8a93b83dfba6ec4fdd8c951f800}
fabc[0:16]|NepCTF{90dc2fa2b2136ccc190f20f23496e604}
fabc[16:32]|NepCTF{198ae8a0f76a883ddc14847f9fb9a953}
fabc[32:48]|NepCTF{07004d8b371a1639d5937da589f0ef49}
dat64000|NepCTF{8592a2e4f88b293cce4dbee96feead04}
dat8010|NepCTF{627d9d411420fb7081d18c376356772f}
dat8000|NepCTF{37b9eb0a059462be2805b78b859087e7}
stage1^uuid_arm|NepCTF{5167a9471653d9b1da52dec6921a57df}
stage1^uuid_x86|NepCTF{b569973c3818c8c7813eb26f713d3cb2}
uuid_arm^uuid_x86|NepCTF{e40e3e7b2e4b11765b6c6ca9e3276b6d}
stage1^out1tail|NepCTF{3e1773436a93e6fa68c4f9ac558508ef}
uuid_arm^out1tail|NepCTF{6f70da047cc03f4bb296276ac79f5f30}
uuid_x86^out1tail|NepCTF{8b7ee47f528b2e3de9fa4bc324b8345d}
stage1^fabc0|NepCTF{2c28431c76554b262142c653a46eadfb}
